release_date,budget
7/12/1997,23500000
12/7/2021,75000000
8/3/2010,80000000
11/4/2016,22500000
8/12/2010,85000000
6/21/1989,35000000
1/10/2018,62000000
11/21/1976,1000000
8/3/2007,70000000
7/9/1999,11000000
4/16/1988,3700000
6/11/2011,200000000
12/18/2013,90000000
7/16/2015,88000000
6/27/2012,95000000
8/9/2018,15000000
8/9/2018,150000000
11/12/2010,18000000
12/8/2006,100000000
11/20/2018,175000000
7/20/2017,177200000
7/23/2004,75000000
11/13/2019,97600000
2/1/2010,95000000
2/5/2009,60000000
11/25/2015,37000000
2/14/2007,12000000
5/11/2018,0
6/8/2016,9900000
6/25/2015,68000000
1/17/2004,13000000
6/7/2018,10000000
12/21/1937,1488423
5/11/2011,17000000
6/20/1997,85000000
12/3/2013,40000000
3/22/2017,58000000
6/14/2011,200000000
6/5/2003,76000000
7/11/2016,19000000
3/14/2019,20000000
11/22/2011,170000000
7/7/1978,6000000
5/9/2012,150000000
5/16/2010,165000000
4/5/2023,100000000
6/6/2017,125000000
12/5/2007,7500000
9/18/2003,4000000
12/9/2004,110000000
8/30/2002,3300000
12/25/2003,70000000
2/13/2004,75000000
4/2/2009,85000000
7/20/2016,8500000
11/8/2002,41000000
11/15/2000,123000000
9/7/2016,60000000
3/23/2017,125000000
3/6/2015,95000000
5/19/2021,200000000
10/26/2012,102000000
12/14/2010,170000000
10/21/2016,4000000
3/20/2007,20000000
8/1/2019,200000000
3/15/2013,135000000
9/2/2013,38000000
7/18/2001,93000000
5/19/2015,190000000
5/8/2014,18000000
6/19/2008,75000000
6/15/2017,80000000
6/27/2016,19000000
12/15/1995,60000000
5/7/2008,12500000
4/11/2018,120000000
1/15/2008,25000000
2/8/2005,100000000
6/23/2006,82500000
7/6/2022,250000000
7/26/2006,8000000
9/22/2006,76000000
12/20/2012,60000000
9/16/2010,8000000
9/28/2019,18000000
12/14/2011,90000000
5/4/2001,98000000
9/10/2005,14000000
10/10/2013,55000000
10/15/2015,40000000
5/20/2009,150000000
1/27/2015,3500000
12/7/2022,90000000
4/2/2004,66000000
8/7/2014,125000000
10/30/2008,150000000
5/25/2011,150000000
12/18/2008,55000000
2/4/2015,176000003
5/13/2009,150000000
7/7/2000,19000000
5/25/2016,160000000
12/9/2008,70000000
5/19/2010,200000000
1/17/2013,50000000
5/3/2019,150000000
11/8/2019,1203235
3/31/2011,1500000
12/5/2003,140000000
10/28/2010,130000000
8/8/2012,100000000
10/13/2010,58000000
9/4/2020,200000000
3/3/2021,100000000
9/13/2017,30000000
2/22/1950,2900000
6/18/1999,130000000
6/8/2009,16000000
6/25/1982,15000000
3/7/2013,200000000
11/21/2012,145000000
3/9/2016,110000000
7/7/2016,185000000
6/3/2006,85000000
8/11/2005,26000000
3/20/2013,70000000
3/18/2021,17000000
9/28/2012,17000000
5/30/2013,130000000
11/1/2019,159000000
